country,winter,season,metric,value,anom,anom_dt,n_sites,group,oni_djf
DK,1962,NDJFM,ice_days,11.837,-4.677,-6.278,2,neutral,-0.160
DK,1962,NDJFM,precip,253.533,-35.540,-12.663,3,neutral,-0.160
DK,1962,NDJFM,precip_days,52.667,-2.960,0.912,3,neutral,-0.160
DK,1962,NDJFM,thaw_days,138.642,4.992,6.214,2,neutral,-0.160
DK,1962,NDJFM,tmax_mean,4.428,-0.544,0.177,2,neutral,-0.160
DK,1962,NDJFM,tmean,2.004,,0.052,2,neutral,-0.160
DK,1962,NDJFM,tmin_mean,-0.423,-1.436,-0.051,2,neutral,-0.160
DK,1963,DJF,frost_days,78.000,39.197,26.050,2,neutral,-0.330
DK,1963,DJF,ice_days,55.000,38.240,38.611,2,neutral,-0.330
DK,1963,DJF,precip,78.633,-91.250,-74.327,3,neutral,-0.330
