level,unit,season,metric,variant,g1,g2,n1,n2,diff,ci_lo,ci_hi,p_perm,p_welch,p_mwu,cohen_d
site,fmi_100971,JFM,frost_days,anom,super,elnino,3,20,-6.2333,-16.3319,3.8652,0.5353,0.2002,0.4372,-0.4096
site,fmi_100971,JFM,frost_days,anom,super,neutral,3,29,-8.9540,-18.2118,0.3038,0.2410,0.0555,0.1205,-0.7602
site,fmi_100971,JFM,frost_days,anom,elnino,neutral,20,29,-2.7207,-11.1275,5.1676,0.5147,0.5226,0.7524,-0.1974
site,fmi_100971,JFM,frost_days,anom,super,lanina,3,25,-10.2933,-19.5808,-1.0059,0.1732,0.0350,0.0631,-0.8444
site,fmi_100971,JFM,frost_days,anom,lanina,neutral,25,29,1.3393,-5.1589,7.6445,0.6995,0.6936,0.6268,0.1085
site,fmi_100971,JFM,frost_days,anom_dt,super,elnino,3,20,-3.6585,-10.4926,3.1756,0.6347,0.2743,0.4574,-0.3040
site,fmi_100971,JFM,frost_days,anom_dt,super,neutral,3,29,-4.2853,-9.7924,1.2217,0.4953,0.1142,0.3831,-0.4287
site,fmi_100971,JFM,frost_days,anom_dt,elnino,neutral,20,29,-0.6268,-7.1482,5.6846,0.8538,0.8553,0.8787,-0.0554
site,fmi_100971,JFM,frost_days,anom_dt,super,lanina,3,25,-7.9673,-14.1889,-1.7457,0.2759,0.0154,0.0897,-0.6718
site,fmi_100971,JFM,frost_days,anom_dt,lanina,neutral,25,29,3.6819,-2.4077,9.3360,0.2468,0.2441,0.0993,0.3262
