level,unit,season,metric,variant,group,n,mean,median,sd,ci_lo,ci_hi
site,fmi_100971,JFM,snow_depth,anom,elnino,20,5.8759,3.3180,17.1031,-1.0186,13.4083
site,fmi_100971,JFM,snow_depth,anom,neutral,29,8.3318,7.7650,15.6502,2.8932,14.0194
site,fmi_100971,JFM,snow_depth,anom,lanina,25,5.9678,2.2100,14.1622,0.8146,11.5879
site,fmi_100971,JFM,snow_depth,anom_dt,super,3,-10.5333,-11.4530,3.4516,-19.1077,-1.9590
site,fmi_100971,JFM,snow_depth,anom_dt,elnino,20,0.2030,-1.9315,15.6217,-6.0353,7.3809
site,fmi_100971,JFM,snow_depth,anom_dt,neutral,29,0.4712,-1.8330,13.8173,-4.5320,5.3726
site,fmi_100971,JFM,snow_depth,anom_dt,lanina,25,0.5550,-0.8410,13.0819,-4.1311,5.8236
site,fmi_100971,JFM,snow_max,value,super,3,23.0000,19.0000,7.8102,3.5983,42.4017
site,fmi_100971,JFM,snow_max,value,elnino,20,40.4000,37.5000,22.0320,31.1988,49.9500
site,fmi_100971,JFM,snow_max,value,neutral,29,43.5172,43.0000,17.9097,37.3086,50.0009
site,fmi_100971,JFM,snow_max,value,lanina,25,40.6800,36.0000,18.2682,34.2400,47.6800
site,fmi_100971,JFM,snow_max,anom,super,3,-9.1330,-13.1330,7.8102,-28.5347,10.2687
site,fmi_100971,JFM,snow_max,anom,elnino,20,8.2670,5.3670,22.0320,-0.8830,17.6670
site,fmi_100971,JFM,snow_max,anom,neutral,29,11.3842,10.8670,17.9097,4.9006,17.7636
site,fmi_100971,JFM,snow_max,anom,lanina,25,8.5470,3.8670,18.2682,1.8660,15.7480
site,fmi_100971,JFM,snow_max,anom_dt,super,3,-13.5133,-17.9200,14.2312,-48.8657,21.8390
site,fmi_100971,JFM,snow_max,anom_dt,elnino,20,0.2670,-1.5305,20.0937,-8.3665,9.1534
site,fmi_100971,JFM,snow_max,anom_dt,neutral,29,0.4408,1.2000,14.9996,-4.9025,5.8435
site,fmi_100971,JFM,snow_max,anom_dt,lanina,25,0.8967,-2.7000,16.1490,-5.2564,7.3433
site,fmi_100971,JFM,thaw_days,value,super,3,58.6667,58.0000,5.0332,46.1634,71.1699
site,fmi_100971,JFM,thaw_days,value,elnino,20,48.1000,45.0000,20.9056,39.2500,57.3500
site,fmi_100971,JFM,thaw_days,value,neutral,29,46.1724,43.0000,17.6839,39.9310,52.3103
site,fmi_100971,JFM,thaw_days,value,lanina,25,48.0800,45.0000,18.7148,40.9590,55.0400
site,fmi_100971,JFM,thaw_days,anom,super,3,3.0997,2.4330,5.0332,-9.4036,15.6029
site,fmi_100971,JFM,thaw_days,anom,elnino,20,-7.4670,-10.5670,20.9056,-16.0682,1.3343
site,fmi_100971,JFM,thaw_days,anom,neutral,29,-9.3946,-12.5670,17.6839,-15.7058,-2.9808
site,fmi_100971,JFM,thaw_days,anom,lanina,25,-7.4870,-10.5670,18.7148,-14.6480,-0.0060
site,fmi_100971,JFM,thaw_days,anom_dt,super,3,7.0100,6.6960,0.8601,4.8733,9.1467
site,fmi_100971,JFM,thaw_days,anom_dt,elnino,20,-0.4195,0.2205,17.5357,-8.0189,6.8906
site,fmi_100971,JFM,thaw_days,anom_dt,neutral,29,0.2043,-1.6140,16.6387,-5.7921,6.0602
site,fmi_100971,JFM,thaw_days,anom_dt,lanina,25,-0.7426,-4.6570,17.6345,-7.6362,5.9922
site,fmi_100971,JFM,tmax_mean,value,super,3,0.0390,0.1660,0.3106,-0.7326,0.8106
site,fmi_100971,JFM,tmax_mean,value,elnino,20,-0.9978,-0.8790,2.8851,-2.2606,0.2314
